code_station;polluant;valeur;unite;statut_valid;date;Année;Mois
174;NO2;13.0;microg/m3;True;2020-06-23;2020;6
174;NO2;13.0;microg/m3;True;2020-06-24;2020;6
174;NO2;11.0;microg/m3;True;2020-06-25;2020;6
174;NO2;6.0;microg/m3;True;2020-06-26;2020;6
174;NO2;3.0;microg/m3;True;2020-06-27;2020;6
174;NO2;2.0;microg/m3;True;2020-06-28;2020;6
174;NO2;3.0;microg/m3;True;2020-06-29;2020;6
174;NO2;5.0;microg/m3;True;2020-06-30;2020;6
182;NO2;10.0;microg/m3;True;2020-03-02;2020;3
182;NO2;17.0;microg/m3;True;2020-03-03;2020;3
182;NO2;12.0;microg/m3;True;2020-03-04;2020;3
182;NO2;10.0;microg/m3;True;2020-03-05;2020;3
182;NO2;19.0;microg/m3;True;2020-03-06;2020;3
182;NO2;9.0;microg/m3;True;2020-03-07;2020;3
182;NO2;5.0;microg/m3;True;2020-03-08;2020;3
182;NO2;9.0;microg/m3;True;2020-03-09;2020;3
182;NO2;6.0;microg/m3;True;2020-03-10;2020;3
182;NO2;6.0;microg/m3;True;2020-03-11;2020;3
182;NO2;7.0;microg/m3;True;2020-03-12;2020;3
182;NO2;15.0;microg/m3;True;2020-03-13;2020;3
182;NO2;6.0;microg/m3;True;2020-03-14;2020;3
182;NO2;9.0;microg/m3;True;2020-03-15;2020;3
182;NO2;13.0;microg/m3;True;2020-03-16;2020;3
182;NO2;13.0;microg/m3;True;2020-03-17;2020;3
182;NO2;12.0;microg/m3;True;2020-03-18;2020;3
182;NO2;8.0;microg/m3;True;2020-03-19;2020;3
182;NO2;8.0;microg/m3;True;2020-03-20;2020;3
182;NO2;6.0;microg/m3;True;2020-03-21;2020;3
182;NO2;4.0;microg/m3;True;2020-03-22;2020;3
182;NO2;5.0;microg/m3;True;2020-03-23;2020;3
182;NO2;7.0;microg/m3;True;2020-03-24;2020;3
182;NO2;8.0;microg/m3;True;2020-03-25;2020;3
182;NO2;9.0;microg/m3;True;2020-03-26;2020;3
182;NO2;10.0;microg/m3;True;2020-03-27;2020;3
182;NO2;9.0;microg/m3;True;2020-03-28;2020;3
182;NO2;3.0;microg/m3;True;2020-03-29;2020;3
182;NO2;4.0;microg/m3;True;2020-03-30;2020;3
182;NO2;6.0;microg/m3;True;2020-03-31;2020;3
182;NO2;9.0;microg/m3;True;2020-04-01;2020;4
182;NO2;7.0;microg/m3;True;2020-04-02;2020;4
182;NO2;9.0;microg/m3;True;2020-04-03;2020;4
182;NO2;6.0;microg/m3;True;2020-04-04;2020;4
182;NO2;3.0;microg/m3;True;2020-04-05;2020;4
182;NO2;5.0;microg/m3;True;2020-04-06;2020;4
182;NO2;7.0;microg/m3;True;2020-04-07;2020;4
182;NO2;10.0;microg/m3;True;2020-04-08;2020;4
182;NO2;8.0;microg/m3;True;2020-04-09;2020;4
182;NO2;7.0;microg/m3;True;2020-04-10;2020;4
182;NO2;8.0;microg/m3;True;2020-04-11;2020;4
182;NO2;6.0;microg/m3;True;2020-04-12;2020;4
182;NO2;5.0;microg/m3;True;2020-04-13;2020;4
182;NO2;5.0;microg/m3;True;2020-04-14;2020;4
182;NO2;6.0;microg/m3;True;2020-04-15;2020;4
182;NO2;5.0;microg/m3;True;2020-04-16;2020;4
182;NO2;4.0;microg/m3;True;2020-04-17;2020;4
182;NO2;4.0;microg/m3;True;2020-04-18;2020;4
182;NO2;5.0;microg/m3;True;2020-04-19;2020;4
182;NO2;8.0;microg/m3;True;2020-04-20;2020;4
182;NO2;7.0;microg/m3;True;2020-04-21;2020;4
182;NO2;8.0;microg/m3;True;2020-04-22;2020;4
182;NO2;8.0;microg/m3;True;2020-04-23;2020;4
182;NO2;6.0;microg/m3;True;2020-04-24;2020;4
182;NO2;5.0;microg/m3;True;2020-04-25;2020;4
182;NO2;5.0;microg/m3;True;2020-04-26;2020;4
182;NO2;7.0;microg/m3;True;2020-04-27;2020;4
182;NO2;3.0;microg/m3;True;2020-04-28;2020;4
182;NO2;3.0;microg/m3;True;2020-04-29;2020;4
182;NO2;3.0;microg/m3;True;2020-04-30;2020;4
182;NO2;2.0;microg/m3;True;2020-05-01;2020;5
182;NO2;5.0;microg/m3;True;2020-05-02;2020;5
182;NO2;2.0;microg/m3;True;2020-05-03;2020;5
182;NO2;5.0;microg/m3;True;2020-05-04;2020;5
182;NO2;8.0;microg/m3;True;2020-05-05;2020;5
182;NO2;6.0;microg/m3;True;2020-05-06;2020;5
182;NO2;8.0;microg/m3;True;2020-05-07;2020;5
182;NO2;8.0;microg/m3;True;2020-05-08;2020;5
182;NO2;7.0;microg/m3;True;2020-05-09;2020;5
182;NO2;3.0;microg/m3;True;2020-05-10;2020;5
182;NO2;4.0;microg/m3;True;2020-05-11;2020;5
182;NO2;6.0;microg/m3;True;2020-05-12;2020;5
182;NO2;7.0;microg/m3;True;2020-05-13;2020;5
182;NO2;5.0;microg/m3;True;2020-05-14;2020;5
182;NO2;6.0;microg/m3;True;2020-05-15;2020;5
182;NO2;6.0;microg/m3;True;2020-05-16;2020;5
182;NO2;5.0;microg/m3;True;2020-05-17;2020;5
182;NO2;7.0;microg/m3;True;2020-05-18;2020;5
182;NO2;7.0;microg/m3;True;2020-05-19;2020;5
182;NO2;7.0;microg/m3;True;2020-05-20;2020;5
182;NO2;6.0;microg/m3;True;2020-05-21;2020;5
182;NO2;5.0;microg/m3;True;2020-05-22;2020;5
182;NO2;3.0;microg/m3;True;2020-05-23;2020;5
182;NO2;3.0;microg/m3;True;2020-05-24;2020;5
182;NO2;6.0;microg/m3;True;2020-05-25;2020;5
182;NO2;6.0;microg/m3;True;2020-05-26;2020;5
182;NO2;6.0;microg/m3;True;2020-05-27;2020;5
182;NO2;6.0;microg/m3;True;2020-05-28;2020;5
182;NO2;6.0;microg/m3;True;2020-05-29;2020;5
182;NO2;5.0;microg/m3;True;2020-05-30;2020;5
182;NO2;3.0;microg/m3;True;2020-05-31;2020;5
182;NO2;5.0;microg/m3;True;2020-06-01;2020;6
182;NO2;8.0;microg/m3;True;2020-06-02;2020;6
182;NO2;7.0;microg/m3;True;2020-06-03;2020;6
182;NO2;7.0;microg/m3;True;2020-06-04;2020;6
182;NO2;7.0;microg/m3;True;2020-06-05;2020;6
182;NO2;4.0;microg/m3;True;2020-06-06;2020;6
182;NO2;5.0;microg/m3;True;2020-06-07;2020;6
182;NO2;7.0;microg/m3;True;2020-06-08;2020;6
182;NO2;7.0;microg/m3;True;2020-06-09;2020;6
182;NO2;9.0;microg/m3;True;2020-06-10;2020;6
182;NO2;6.0;microg/m3;True;2020-06-11;2020;6
182;NO2;6.0;microg/m3;True;2020-06-12;2020;6
182;NO2;3.0;microg/m3;True;2020-06-13;2020;6
182;NO2;2.0;microg/m3;True;2020-06-14;2020;6
182;NO2;4.0;microg/m3;True;2020-06-15;2020;6
182;NO2;5.0;microg/m3;True;2020-06-16;2020;6
182;NO2;4.0;microg/m3;True;2020-06-17;2020;6
182;NO2;6.0;microg/m3;True;2020-06-18;2020;6
182;NO2;6.0;microg/m3;True;2020-06-19;2020;6
182;NO2;4.0;microg/m3;True;2020-06-20;2020;6
182;NO2;3.0;microg/m3;True;2020-06-21;2020;6
182;NO2;7.0;microg/m3;True;2020-06-22;2020;6
182;NO2;9.0;microg/m3;True;2020-06-23;2020;6
182;NO2;7.0;microg/m3;True;2020-06-24;2020;6
182;NO2;10.0;microg/m3;True;2020-06-25;2020;6
182;NO2;5.0;microg/m3;True;2020-06-26;2020;6
182;NO2;3.0;microg/m3;True;2020-06-27;2020;6
182;NO2;3.0;microg/m3;True;2020-06-28;2020;6
182;NO2;4.0;microg/m3;True;2020-06-29;2020;6
182;NO2;4.0;microg/m3;True;2020-06-30;2020;6
239;NO2;18.0;microg/m3;True;2020-03-02;2020;3
239;NO2;25.0;microg/m3;True;2020-03-03;2020;3
239;NO2;12.0;microg/m3;True;2020-03-04;2020;3
239;NO2;8.0;microg/m3;True;2020-03-05;2020;3
239;NO2;23.0;microg/m3;True;2020-03-06;2020;3
239;NO2;16.0;microg/m3;True;2020-03-07;2020;3
239;NO2;4.0;microg/m3;True;2020-03-08;2020;3
239;NO2;16.0;microg/m3;True;2020-03-09;2020;3
239;NO2;8.0;microg/m3;True;2020-03-10;2020;3
239;NO2;6.0;microg/m3;True;2020-03-11;2020;3
239;NO2;13.0;microg/m3;True;2020-03-12;2020;3
239;NO2;22.0;microg/m3;True;2020-03-13;2020;3
239;NO2;7.0;microg/m3;True;2020-03-14;2020;3
239;NO2;4.0;microg/m3;True;2020-03-15;2020;3
239;NO2;12.0;microg/m3;True;2020-03-16;2020;3
239;NO2;16.0;microg/m3;True;2020-03-17;2020;3
239;NO2;15.0;microg/m3;True;2020-03-18;2020;3
239;NO2;15.0;microg/m3;True;2020-03-19;2020;3
239;NO2;13.0;microg/m3;True;2020-03-20;2020;3
239;NO2;7.0;microg/m3;True;2020-03-21;2020;3
239;NO2;8.0;microg/m3;True;2020-03-22;2020;3
239;NO2;8.0;microg/m3;True;2020-03-23;2020;3
239;NO2;10.0;microg/m3;True;2020-03-24;2020;3
239;NO2;13.0;microg/m3;True;2020-03-25;2020;3
239;NO2;12.0;microg/m3;True;2020-03-26;2020;3
239;NO2;13.0;microg/m3;True;2020-03-27;2020;3
239;NO2;8.0;microg/m3;True;2020-03-28;2020;3
239;NO2;4.0;microg/m3;True;2020-03-29;2020;3
239;NO2;8.0;microg/m3;True;2020-03-30;2020;3
239;NO2;15.0;microg/m3;True;2020-03-31;2020;3
239;NO2;14.0;microg/m3;True;2020-04-01;2020;4
239;NO2;8.0;microg/m3;True;2020-04-02;2020;4
239;NO2;12.0;microg/m3;True;2020-04-03;2020;4
239;NO2;7.0;microg/m3;True;2020-04-04;2020;4
239;NO2;3.0;microg/m3;True;2020-04-05;2020;4
239;NO2;5.0;microg/m3;True;2020-04-06;2020;4
239;NO2;7.0;microg/m3;True;2020-04-07;2020;4
239;NO2;11.0;microg/m3;True;2020-04-08;2020;4
239;NO2;10.0;microg/m3;True;2020-04-09;2020;4
239;NO2;8.0;microg/m3;True;2020-04-10;2020;4
239;NO2;8.0;microg/m3;True;2020-04-11;2020;4
239;NO2;5.0;microg/m3;True;2020-04-12;2020;4
239;NO2;3.0;microg/m3;True;2020-04-13;2020;4
239;NO2;5.0;microg/m3;True;2020-04-14;2020;4
239;NO2;5.0;microg/m3;True;2020-04-15;2020;4
239;NO2;3.0;microg/m3;True;2020-04-16;2020;4
239;NO2;4.0;microg/m3;True;2020-04-17;2020;4
239;NO2;5.0;microg/m3;True;2020-04-18;2020;4
239;NO2;3.0;microg/m3;True;2020-04-19;2020;4
239;NO2;9.0;microg/m3;True;2020-04-20;2020;4
239;NO2;13.0;microg/m3;True;2020-04-21;2020;4
239;NO2;10.0;microg/m3;True;2020-04-22;2020;4
239;NO2;6.0;microg/m3;True;2020-04-23;2020;4
239;NO2;6.0;microg/m3;True;2020-04-24;2020;4
239;NO2;5.0;microg/m3;True;2020-04-25;2020;4
239;NO2;5.0;microg/m3;True;2020-04-26;2020;4
239;NO2;11.0;microg/m3;True;2020-04-27;2020;4
239;NO2;4.0;microg/m3;True;2020-04-28;2020;4
239;NO2;5.0;microg/m3;True;2020-04-29;2020;4
239;NO2;5.0;microg/m3;True;2020-04-30;2020;4
239;NO2;3.0;microg/m3;True;2020-05-01;2020;5
239;NO2;3.0;microg/m3;True;2020-05-02;2020;5
239;NO2;1.0;microg/m3;True;2020-05-03;2020;5
239;NO2;4.0;microg/m3;True;2020-05-04;2020;5
239;NO2;7.0;microg/m3;True;2020-05-05;2020;5
239;NO2;8.0;microg/m3;True;2020-05-06;2020;5
239;NO2;10.0;microg/m3;True;2020-05-07;2020;5
239;NO2;6.0;microg/m3;True;2020-05-08;2020;5
239;NO2;5.0;microg/m3;True;2020-05-09;2020;5
239;NO2;2.0;microg/m3;True;2020-05-10;2020;5
239;NO2;5.0;microg/m3;True;2020-05-11;2020;5
239;NO2;10.0;microg/m3;True;2020-05-12;2020;5
239;NO2;10.0;microg/m3;True;2020-05-13;2020;5
239;NO2;8.0;microg/m3;True;2020-05-14;2020;5
239;NO2;8.0;microg/m3;True;2020-05-15;2020;5
239;NO2;7.0;microg/m3;True;2020-05-16;2020;5
239;NO2;5.0;microg/m3;True;2020-05-17;2020;5
239;NO2;11.0;microg/m3;True;2020-05-18;2020;5
239;NO2;11.0;microg/m3;True;2020-05-19;2020;5
239;NO2;14.0;microg/m3;True;2020-05-20;2020;5
239;NO2;10.0;microg/m3;True;2020-05-21;2020;5
239;NO2;6.0;microg/m3;True;2020-05-22;2020;5
239;NO2;5.0;microg/m3;True;2020-05-23;2020;5
239;NO2;4.0;microg/m3;True;2020-05-24;2020;5
239;NO2;9.0;microg/m3;True;2020-05-25;2020;5
239;NO2;10.0;microg/m3;True;2020-05-26;2020;5
239;NO2;9.0;microg/m3;True;2020-05-27;2020;5
239;NO2;9.0;microg/m3;True;2020-05-28;2020;5
239;NO2;9.0;microg/m3;True;2020-05-29;2020;5
239;NO2;7.0;microg/m3;True;2020-05-30;2020;5
239;NO2;4.0;microg/m3;True;2020-05-31;2020;5
239;NO2;6.0;microg/m3;True;2020-06-01;2020;6
239;NO2;11.0;microg/m3;True;2020-06-02;2020;6
239;NO2;10.0;microg/m3;True;2020-06-03;2020;6
239;NO2;;;False;2020-06-04;2020;6
239;NO2;;;False;2020-06-05;2020;6
239;NO2;;;False;2020-06-06;2020;6
239;NO2;;;False;2020-06-07;2020;6
239;NO2;;;False;2020-06-08;2020;6
239;NO2;;;False;2020-06-09;2020;6
239;NO2;;;False;2020-06-10;2020;6
239;NO2;;;False;2020-06-11;2020;6
239;NO2;;;False;2020-06-12;2020;6
239;NO2;;;False;2020-06-13;2020;6
239;NO2;;;False;2020-06-14;2020;6
239;NO2;;;False;2020-06-15;2020;6
239;NO2;8.0;microg/m3;True;2020-06-16;2020;6
239;NO2;9.0;microg/m3;True;2020-06-17;2020;6
239;NO2;7.0;microg/m3;True;2020-06-18;2020;6
239;NO2;8.0;microg/m3;True;2020-06-19;2020;6
239;NO2;3.0;microg/m3;True;2020-06-20;2020;6
239;NO2;1.0;microg/m3;True;2020-06-21;2020;6
239;NO2;11.0;microg/m3;True;2020-06-22;2020;6
239;NO2;14.0;microg/m3;True;2020-06-23;2020;6
239;NO2;16.0;microg/m3;True;2020-06-24;2020;6
239;NO2;13.0;microg/m3;True;2020-06-25;2020;6
239;NO2;7.0;microg/m3;True;2020-06-26;2020;6
239;NO2;2.0;microg/m3;True;2020-06-27;2020;6
239;NO2;2.0;microg/m3;True;2020-06-28;2020;6
239;NO2;9.0;microg/m3;True;2020-06-29;2020;6
239;NO2;3.0;microg/m3;True;2020-06-30;2020;6
70;NO2;4.0;microg/m3;True;2020-03-02;2020;3
70;NO2;8.0;microg/m3;True;2020-03-03;2020;3
70;NO2;4.0;microg/m3;True;2020-03-04;2020;3
70;NO2;2.0;microg/m3;True;2020-03-05;2020;3
70;NO2;4.0;microg/m3;True;2020-03-06;2020;3
70;NO2;3.0;microg/m3;True;2020-03-07;2020;3
70;NO2;1.0;microg/m3;True;2020-03-08;2020;3
70;NO2;3.0;microg/m3;True;2020-03-09;2020;3
70;NO2;1.0;microg/m3;True;2020-03-10;2020;3
70;NO2;2.0;microg/m3;True;2020-03-11;2020;3
70;NO2;2.0;microg/m3;True;2020-03-12;2020;3
70;NO2;4.0;microg/m3;True;2020-03-13;2020;3
70;NO2;2.0;microg/m3;True;2020-03-14;2020;3
70;NO2;2.0;microg/m3;True;2020-03-15;2020;3
70;NO2;4.0;microg/m3;True;2020-03-16;2020;3
70;NO2;6.0;microg/m3;True;2020-03-17;2020;3
70;NO2;5.0;microg/m3;True;2020-03-18;2020;3
70;NO2;4.0;microg/m3;True;2020-03-19;2020;3
70;NO2;5.0;microg/m3;True;2020-03-20;2020;3
70;NO2;5.0;microg/m3;True;2020-03-21;2020;3
70;NO2;3.0;microg/m3;True;2020-03-22;2020;3
70;NO2;4.0;microg/m3;True;2020-03-23;2020;3
70;NO2;4.0;microg/m3;True;2020-03-24;2020;3
70;NO2;5.0;microg/m3;True;2020-03-25;2020;3
70;NO2;5.0;microg/m3;True;2020-03-26;2020;3
70;NO2;6.0;microg/m3;True;2020-03-27;2020;3
70;NO2;6.0;microg/m3;True;2020-03-28;2020;3
70;NO2;3.0;microg/m3;True;2020-03-29;2020;3
70;NO2;2.0;microg/m3;True;2020-03-30;2020;3
70;NO2;3.0;microg/m3;True;2020-03-31;2020;3
70;NO2;4.0;microg/m3;True;2020-04-01;2020;4
70;NO2;3.0;microg/m3;True;2020-04-02;2020;4
70;NO2;3.0;microg/m3;True;2020-04-03;2020;4
70;NO2;3.0;microg/m3;True;2020-04-04;2020;4
70;NO2;3.0;microg/m3;True;2020-04-05;2020;4
70;NO2;4.0;microg/m3;True;2020-04-06;2020;4
70;NO2;4.0;microg/m3;True;2020-04-07;2020;4
70;NO2;6.0;microg/m3;True;2020-04-08;2020;4
70;NO2;4.0;microg/m3;True;2020-04-09;2020;4
70;NO2;3.0;microg/m3;True;2020-04-10;2020;4
70;NO2;3.0;microg/m3;True;2020-04-11;2020;4
70;NO2;2.0;microg/m3;True;2020-04-12;2020;4
70;NO2;2.0;microg/m3;True;2020-04-13;2020;4
70;NO2;2.0;microg/m3;True;2020-04-14;2020;4
70;NO2;3.0;microg/m3;True;2020-04-15;2020;4
70;NO2;2.0;microg/m3;True;2020-04-16;2020;4
70;NO2;2.0;microg/m3;True;2020-04-17;2020;4
70;NO2;2.0;microg/m3;True;2020-04-18;2020;4
70;NO2;2.0;microg/m3;True;2020-04-19;2020;4
70;NO2;4.0;microg/m3;True;2020-04-20;2020;4
70;NO2;4.0;microg/m3;True;2020-04-21;2020;4
70;NO2;4.0;microg/m3;True;2020-04-22;2020;4
70;NO2;3.0;microg/m3;True;2020-04-23;2020;4
70;NO2;3.0;microg/m3;True;2020-04-24;2020;4
70;NO2;3.0;microg/m3;True;2020-04-25;2020;4
70;NO2;2.0;microg/m3;True;2020-04-26;2020;4
70;NO2;3.0;microg/m3;True;2020-04-27;2020;4
70;NO2;1.0;microg/m3;True;2020-04-28;2020;4
70;NO2;1.0;microg/m3;True;2020-04-29;2020;4
70;NO2;1.0;microg/m3;True;2020-04-30;2020;4
70;NO2;0.0;microg/m3;True;2020-05-01;2020;5
70;NO2;1.0;microg/m3;True;2020-05-02;2020;5
70;NO2;0.0;microg/m3;True;2020-05-03;2020;5
70;NO2;1.0;microg/m3;True;2020-05-04;2020;5
70;NO2;1.0;microg/m3;True;2020-05-05;2020;5
70;NO2;2.0;microg/m3;True;2020-05-06;2020;5
70;NO2;3.0;microg/m3;True;2020-05-07;2020;5
70;NO2;3.0;microg/m3;True;2020-05-08;2020;5
70;NO2;2.0;microg/m3;True;2020-05-09;2020;5
70;NO2;1.0;microg/m3;True;2020-05-10;2020;5
70;NO2;1.0;microg/m3;True;2020-05-11;2020;5
70;NO2;3.0;microg/m3;True;2020-05-12;2020;5
70;NO2;3.0;microg/m3;True;2020-05-13;2020;5
70;NO2;2.0;microg/m3;True;2020-05-14;2020;5
70;NO2;3.0;microg/m3;True;2020-05-15;2020;5
70;NO2;2.0;microg/m3;True;2020-05-16;2020;5
70;NO2;2.0;microg/m3;True;2020-05-17;2020;5
70;NO2;3.0;microg/m3;True;2020-05-18;2020;5
70;NO2;3.0;microg/m3;True;2020-05-19;2020;5
70;NO2;5.0;microg/m3;True;2020-05-20;2020;5
70;NO2;4.0;microg/m3;True;2020-05-21;2020;5
70;NO2;2.0;microg/m3;True;2020-05-22;2020;5
70;NO2;1.0;microg/m3;True;2020-05-23;2020;5
70;NO2;1.0;microg/m3;True;2020-05-24;2020;5
70;NO2;3.0;microg/m3;True;2020-05-25;2020;5
70;NO2;4.0;microg/m3;True;2020-05-26;2020;5
70;NO2;3.0;microg/m3;True;2020-05-27;2020;5
70;NO2;3.0;microg/m3;True;2020-05-28;2020;5
70;NO2;3.0;microg/m3;True;2020-05-29;2020;5
70;NO2;3.0;microg/m3;True;2020-05-30;2020;5
70;NO2;2.0;microg/m3;True;2020-05-31;2020;5
70;NO2;2.0;microg/m3;True;2020-06-01;2020;6
70;NO2;4.0;microg/m3;True;2020-06-02;2020;6
70;NO2;4.0;microg/m3;True;2020-06-03;2020;6
70;NO2;3.0;microg/m3;True;2020-06-04;2020;6
70;NO2;1.0;microg/m3;True;2020-06-05;2020;6
70;NO2;1.0;microg/m3;True;2020-06-06;2020;6
70;NO2;2.0;microg/m3;True;2020-06-07;2020;6
70;NO2;3.0;microg/m3;True;2020-06-08;2020;6
70;NO2;3.0;microg/m3;True;2020-06-09;2020;6
70;NO2;4.0;microg/m3;True;2020-06-10;2020;6
70;NO2;4.0;microg/m3;True;2020-06-11;2020;6
70;NO2;3.0;microg/m3;True;2020-06-12;2020;6
70;NO2;1.0;microg/m3;True;2020-06-13;2020;6
70;NO2;0.0;microg/m3;True;2020-06-14;2020;6
70;NO2;1.0;microg/m3;True;2020-06-15;2020;6
70;NO2;1.0;microg/m3;True;2020-06-16;2020;6
70;NO2;2.0;microg/m3;True;2020-06-17;2020;6
70;NO2;2.0;microg/m3;True;2020-06-18;2020;6
70;NO2;1.0;microg/m3;True;2020-06-19;2020;6
70;NO2;1.0;microg/m3;True;2020-06-20;2020;6
70;NO2;0.0;microg/m3;True;2020-06-21;2020;6
70;NO2;3.0;microg/m3;True;2020-06-22;2020;6
70;NO2;4.0;microg/m3;True;2020-06-23;2020;6
70;NO2;5.0;microg/m3;True;2020-06-24;2020;6
70;NO2;6.0;microg/m3;True;2020-06-25;2020;6
70;NO2;2.0;microg/m3;True;2020-06-26;2020;6
70;NO2;0.0;microg/m3;True;2020-06-27;2020;6
70;NO2;0.0;microg/m3;True;2020-06-28;2020;6
70;NO2;1.0;microg/m3;True;2020-06-29;2020;6
70;NO2;1.0;microg/m3;True;2020-06-30;2020;6
1;NO2;5.0;microg/m3;True;2020-03-02;2020;3
1;NO2;10.0;microg/m3;True;2020-03-03;2020;3
1;NO2;7.0;microg/m3;True;2020-03-04;2020;3
1;NO2;5.0;microg/m3;True;2020-03-05;2020;3
1;NO2;7.0;microg/m3;True;2020-03-06;2020;3
1;NO2;8.0;microg/m3;True;2020-03-07;2020;3
1;NO2;3.0;microg/m3;True;2020-03-08;2020;3
1;NO2;8.0;microg/m3;True;2020-03-09;2020;3
1;NO2;9.0;microg/m3;True;2020-03-10;2020;3
1;NO2;6.0;microg/m3;True;2020-03-11;2020;3
1;NO2;5.0;microg/m3;True;2020-03-12;2020;3
1;NO2;10.0;microg/m3;True;2020-03-13;2020;3
1;NO2;4.0;microg/m3;True;2020-03-14;2020;3
1;NO2;4.0;microg/m3;True;2020-03-15;2020;3
1;NO2;4.0;microg/m3;True;2020-03-16;2020;3
1;NO2;6.0;microg/m3;True;2020-03-17;2020;3
1;NO2;10.0;microg/m3;True;2020-03-18;2020;3
1;NO2;10.0;microg/m3;True;2020-03-19;2020;3
1;NO2;6.0;microg/m3;True;2020-03-20;2020;3
1;NO2;8.0;microg/m3;True;2020-03-21;2020;3
1;NO2;5.0;microg/m3;True;2020-03-22;2020;3
1;NO2;6.0;microg/m3;True;2020-03-23;2020;3
1;NO2;6.0;microg/m3;True;2020-03-24;2020;3
1;NO2;7.0;microg/m3;True;2020-03-25;2020;3
1;NO2;7.0;microg/m3;True;2020-03-26;2020;3
1;NO2;9.0;microg/m3;True;2020-03-27;2020;3
1;NO2;9.0;microg/m3;True;2020-03-28;2020;3
1;NO2;4.0;microg/m3;True;2020-03-29;2020;3
1;NO2;3.0;microg/m3;True;2020-03-30;2020;3
1;NO2;5.0;microg/m3;True;2020-03-31;2020;3
1;NO2;7.0;microg/m3;True;2020-04-01;2020;4
1;NO2;7.0;microg/m3;True;2020-04-02;2020;4
1;NO2;7.0;microg/m3;True;2020-04-03;2020;4
1;NO2;5.0;microg/m3;True;2020-04-04;2020;4
1;NO2;4.0;microg/m3;True;2020-04-05;2020;4
1;NO2;8.0;microg/m3;True;2020-04-06;2020;4
1;NO2;5.0;microg/m3;True;2020-04-07;2020;4
1;NO2;7.0;microg/m3;True;2020-04-08;2020;4
1;NO2;7.0;microg/m3;True;2020-04-09;2020;4
1;NO2;6.0;microg/m3;True;2020-04-10;2020;4
1;NO2;6.0;microg/m3;True;2020-04-11;2020;4
1;NO2;6.0;microg/m3;True;2020-04-12;2020;4
1;NO2;3.0;microg/m3;True;2020-04-13;2020;4
1;NO2;4.0;microg/m3;True;2020-04-14;2020;4
1;NO2;4.0;microg/m3;True;2020-04-15;2020;4
1;NO2;8.0;microg/m3;True;2020-04-16;2020;4
1;NO2;6.0;microg/m3;True;2020-04-17;2020;4
1;NO2;5.0;microg/m3;True;2020-04-18;2020;4
1;NO2;5.0;microg/m3;True;2020-04-19;2020;4
1;NO2;6.0;microg/m3;True;2020-04-20;2020;4
1;NO2;7.0;microg/m3;True;2020-04-21;2020;4
1;NO2;7.0;microg/m3;True;2020-04-22;2020;4
1;NO2;8.0;microg/m3;True;2020-04-23;2020;4
1;NO2;6.0;microg/m3;True;2020-04-24;2020;4
1;NO2;5.0;microg/m3;True;2020-04-25;2020;4
1;NO2;5.0;microg/m3;True;2020-04-26;2020;4
1;NO2;7.0;microg/m3;True;2020-04-27;2020;4
1;NO2;6.0;microg/m3;True;2020-04-28;2020;4
1;NO2;5.0;microg/m3;True;2020-04-29;2020;4
1;NO2;6.0;microg/m3;True;2020-04-30;2020;4
1;NO2;4.0;microg/m3;True;2020-05-01;2020;5
1;NO2;6.0;microg/m3;True;2020-05-02;2020;5
1;NO2;4.0;microg/m3;True;2020-05-03;2020;5
1;NO2;3.0;microg/m3;True;2020-05-04;2020;5
1;NO2;4.0;microg/m3;True;2020-05-05;2020;5
1;NO2;3.0;microg/m3;True;2020-05-06;2020;5
1;NO2;5.0;microg/m3;True;2020-05-07;2020;5
1;NO2;5.0;microg/m3;True;2020-05-08;2020;5
1;NO2;6.0;microg/m3;True;2020-05-09;2020;5
1;NO2;5.0;microg/m3;True;2020-05-10;2020;5
1;NO2;4.0;microg/m3;True;2020-05-11;2020;5
1;NO2;4.0;microg/m3;True;2020-05-12;2020;5
1;NO2;4.0;microg/m3;True;2020-05-13;2020;5
1;NO2;3.0;microg/m3;True;2020-05-14;2020;5
1;NO2;4.0;microg/m3;True;2020-05-15;2020;5
1;NO2;4.0;microg/m3;True;2020-05-16;2020;5
1;NO2;3.0;microg/m3;True;2020-05-17;2020;5
1;NO2;5.0;microg/m3;True;2020-05-18;2020;5
1;NO2;5.0;microg/m3;True;2020-05-19;2020;5
1;NO2;6.0;microg/m3;True;2020-05-20;2020;5
1;NO2;9.0;microg/m3;True;2020-05-21;2020;5
1;NO2;4.0;microg/m3;True;2020-05-22;2020;5
1;NO2;1.0;microg/m3;True;2020-05-23;2020;5
1;NO2;2.0;microg/m3;True;2020-05-24;2020;5
1;NO2;3.0;microg/m3;True;2020-05-25;2020;5
1;NO2;4.0;microg/m3;True;2020-05-26;2020;5
1;NO2;5.0;microg/m3;True;2020-05-27;2020;5
1;NO2;5.0;microg/m3;True;2020-05-28;2020;5
1;NO2;5.0;microg/m3;True;2020-05-29;2020;5
1;NO2;4.0;microg/m3;True;2020-05-30;2020;5
1;NO2;3.0;microg/m3;True;2020-05-31;2020;5
1;NO2;3.0;microg/m3;True;2020-06-01;2020;6
1;NO2;6.0;microg/m3;True;2020-06-02;2020;6
1;NO2;5.0;microg/m3;True;2020-06-03;2020;6
1;NO2;4.0;microg/m3;True;2020-06-04;2020;6
1;NO2;1.0;microg/m3;True;2020-06-05;2020;6
1;NO2;2.0;microg/m3;True;2020-06-06;2020;6
